Temp	freq	eps_real	eps_imag	loss	condAC_real	condAC_imag	m_real	m_imag	z_real	z_imag	Cp	Rp	Z_real_normalized	Z_imag_normalized	|Z|	Theta	Z_real_normalized	Z_imag_normalized	Dimensions
371	354.813	35.9519	2.27894	0.0633885	4.50E-08	7.10E-07	0.0277036	0.00175609	1.31E+06	2.07E+07	2.16E-11	3.28E+08	8.90E+06	1.40E+08	2.07E+07	86.373	4.50E-10	7.10E-09	0
371	398.107	34.8347	2.21551	0.0636005	4.91E-08	7.72E-07	0.0285913	0.00181842	1.21E+06	1.90E+07	2.09E-11	3.00E+08	8.21E+06	1.29E+08	1.91E+07	86.3609	4.91E-10	7.72E-09	0
371	446.684	35.1677	1.50517	0.0427998	3.74E-08	8.74E-07	0.0283832	0.0012148	720395	1.68E+07	2.11E-11	3.94E+08	4.89E+06	1.14E+08	1.68E+07	87.5493	3.74E-10	8.74E-09	0
371	501.187	35.0871	1.4921	0.0425256	4.16E-08	9.78E-07	0.0284491	0.00120981	639421	1.50E+07	2.11E-11	3.54E+08	4.34E+06	1.02E+08	1.50E+07	87.5649	4.16E-10	9.78E-09	0
371	562.341	35.7668	2.92953	0.0819062	9.16E-08	1.12E-06	0.0277726	0.00227475	1.07E+06	1.31E+07	2.15E-11	1.61E+08	7.27E+06	8.88E+07	1.31E+07	85.3176	9.16E-10	1.12E-08	0
371	630.957	34.8439	1.85762	0.0533126	6.52E-08	1.22E-06	0.0286181	0.0015257	640529	1.20E+07	2.09E-11	2.26E+08	4.35E+06	8.15E+07	1.20E+07	86.9483	6.52E-10	1.22E-08	0
371	707.946	35.0001	1.48341	0.0423831	5.84E-08	1.38E-06	0.0285201	0.00120877	452284	1.07E+07	2.10E-11	2.52E+08	3.07E+06	7.24E+07	1.07E+07	87.5731	5.84E-10	1.38E-08	0
371	794.328	34.9169	1.55365	0.0444956	6.87E-08	1.54E-06	0.0285828	0.00127181	424122	9.53E+06	2.10E-11	2.15E+08	2.88E+06	6.47E+07	9.54E+06	87.4523	6.87E-10	1.54E-08	0
371	891.251	34.8444	1.31086	0.0376203	6.50E-08	1.73E-06	0.0286584	0.00107814	320438	8.52E+06	2.09E-11	2.27E+08	2.17E+06	5.78E+07	8.52E+06	87.8455	6.50E-10	1.73E-08	0
371	1000	35.0587	1.8375	0.0524122	1.02E-07	1.95E-06	0.0284455	0.00149089	394924	7.53E+06	2.11E-11	1.44E+08	2.68E+06	5.11E+07	7.55E+06	86.9998	1.02E-09	1.95E-08	0
371	1122.02	34.6457	1.14401	0.0330202	7.14E-08	2.16E-06	0.0288322	0.000952043	224763	6.81E+06	2.08E-11	2.06E+08	1.53E+06	4.62E+07	6.81E+06	88.1088	7.14E-10	2.16E-08	0
371	1258.92	34.336	1.21801	0.0354733	8.53E-08	2.40E-06	0.0290873	0.00103182	217107	6.12E+06	2.06E-11	1.73E+08	1.47E+06	4.15E+07	6.12E+06	87.9684	8.53E-10	2.40E-08	0
371	1412.54	34.4748	1.08462	0.0314614	8.52E-08	2.71E-06	0.028978	0.000911689	170968	5.43E+06	2.07E-11	1.73E+08	1.16E+06	3.69E+07	5.44E+06	88.198	8.52E-10	2.71E-08	0
371	1584.89	34.4656	1.14351	0.0331783	1.01E-07	3.04E-06	0.0289825	0.00096159	160716	4.84E+06	2.07E-11	1.46E+08	1.09E+06	3.29E+07	4.85E+06	88.0997	1.01E-09	3.04E-08	0
371	1778.28	34.4434	1.02245	0.0296851	1.01E-07	3.41E-06	0.0290076	0.000861093	128268	4.32E+06	2.07E-11	1.46E+08	870405	2.93E+07	4.32E+06	88.2997	1.01E-09	3.41E-08	0
371	1995.26	34.3369	0.975281	0.0284033	1.08E-07	3.81E-06	0.0290997	0.000826526	109730	3.86E+06	2.06E-11	1.36E+08	744609	2.62E+07	3.86E+06	88.373	1.08E-09	3.81E-08	0
371	2238.72	34.3271	1.0363	0.0301891	1.29E-07	4.28E-06	0.029105	0.000878651	103964	3.44E+06	2.06E-11	1.14E+08	705485	2.34E+07	3.45E+06	88.2708	1.29E-09	4.28E-08	0
371	2511.89	34.3547	0.919411	0.0267623	1.28E-07	4.80E-06	0.0290872	0.000778441	82090.7	3.07E+06	2.06E-11	1.15E+08	557054	2.08E+07	3.07E+06	88.467	1.28E-09	4.80E-08	0
371	2818.38	34.1579	0.913528	0.0267443	1.43E-07	5.36E-06	0.0292549	0.000782402	73535.7	2.75E+06	2.05E-11	1.03E+08	499001	1.87E+07	2.75E+06	88.468	1.43E-09	5.36E-08	0
371	3162.28	34.12	0.978025	0.0286642	1.72E-07	6.00E-06	0.0292842	0.00083941	70314.1	2.45E+06	2.05E-11	8.56E+07	477140	1.66E+07	2.45E+06	88.3581	1.72E-09	6.00E-08	0
371	3548.13	34.0503	0.813156	0.023881	1.61E-07	6.72E-06	0.0293515	0.000700944	52330.1	2.19E+06	2.05E-11	9.18E+07	355103	1.49E+07	2.19E+06	88.632	1.61E-09	6.72E-08	0
371	3981.07	34.0818	0.756314	0.0221911	1.68E-07	7.55E-06	0.0293267	0.000650794	43302.4	1.95E+06	2.05E-11	8.80E+07	293843	1.32E+07	1.95E+06	88.7288	1.68E-09	7.55E-08	0
371	4466.84	34.0301	0.72993	0.0214495	1.81E-07	8.46E-06	0.0293722	0.000630021	37361.4	1.74E+06	2.04E-11	8.12E+07	253528	1.18E+07	1.74E+06	88.7712	1.81E-09	8.46E-08	0
371	5011.87	33.9705	0.562154	0.0165483	1.57E-07	9.47E-06	0.0294292	0.000487003	25739.5	1.56E+06	2.04E-11	9.40E+07	174664	1.06E+07	1.56E+06	89.0519	1.57E-09	9.47E-08	0
371	5623.41	33.8999	0.678991	0.0200293	2.12E-07	1.06E-05	0.0294868	0.000590599	27820.2	1.39E+06	2.04E-11	6.94E+07	188783	9.43E+06	1.39E+06	88.8526	2.12E-09	1.06E-07	0
371	6309.57	33.8784	0.655965	0.0193623	2.30E-07	1.19E-05	0.0295062	0.000571309	23985	1.24E+06	2.04E-11	6.40E+07	162758	8.41E+06	1.24E+06	88.8908	2.30E-09	1.19E-07	0
371	7079.46	33.8271	0.604344	0.0178657	2.38E-07	1.33E-05	0.0295527	0.00052798	19755.4	1.11E+06	2.03E-11	6.19E+07	134057	7.50E+06	1.11E+06	88.9765	2.38E-09	1.33E-07	0
371	7943.28	33.7935	0.579336	0.0171434	2.56E-07	1.49E-05	0.0295828	0.000507151	16912.4	986524	2.03E-11	5.76E+07	114765	6.69E+06	986669	89.0179	2.56E-09	1.49E-07	0
371	8912.51	33.7435	0.577118	0.0171031	2.86E-07	1.67E-05	0.0296267	0.000506709	15060.1	880545	2.03E-11	5.15E+07	102195	5.98E+06	880674	89.0202	2.86E-09	1.67E-07	0
371	10000	33.7077	0.557786	0.0165478	3.10E-07	1.88E-05	0.0296587	0.000490785	13000.5	785635	2.03E-11	4.75E+07	88219.2	5.33E+06	785742	89.052	3.10E-09	1.88E-07	0
371	11220.2	33.667	0.562921	0.0167202	3.51E-07	2.10E-05	0.0296943	0.000496496	11721.5	701038	2.02E-11	4.19E+07	79540.4	4.76E+06	701136	89.0421	3.51E-09	2.10E-07	0
371	12589.3	33.6471	0.53075	0.015774	3.72E-07	2.36E-05	0.0297129	0.000468692	9861.78	625191	2.02E-11	3.96E+07	66920.4	4.24E+06	625269	89.0963	3.72E-09	2.36E-07	0
371	14125.4	33.6128	0.520521	0.0154858	4.09E-07	2.64E-05	0.0297435	0.000460601	8637.6	557776	2.02E-11	3.60E+07	58613.3	3.78E+06	557843	89.1128	4.09E-09	2.64E-07	0
371	15848.9	33.5641	0.495034	0.0147489	4.36E-07	2.96E-05	0.0297873	0.00043933	7342.76	497851	2.02E-11	3.38E+07	49826.8	3.38E+06	497905	89.155	4.36E-09	2.96E-07	0
371	17782.8	33.5564	0.471084	0.0140386	4.66E-07	3.32E-05	0.0297947	0.000418277	6230.63	443821	2.02E-11	3.16E+07	42280	3.01E+06	443865	89.1957	4.66E-09	3.32E-07	0
371	19952.6	33.5268	0.460972	0.0137493	5.12E-07	3.72E-05	0.0298212	0.000410022	5443.47	395907	2.01E-11	2.88E+07	36938.5	2.69E+06	395945	89.2123	5.12E-09	3.72E-07	0
371	22387.2	33.4881	0.439839	0.0131342	5.48E-07	4.17E-05	0.0298562	0.000392136	4639.87	353266	2.01E-11	2.69E+07	31485.4	2.40E+06	353297	89.2475	5.48E-09	4.17E-07	0
371	25118.9	33.4596	0.42686	0.0127575	5.97E-07	4.68E-05	0.0298819	0.000381218	4020.14	315120	2.01E-11	2.47E+07	27280	2.14E+06	315146	89.2691	5.97E-09	4.68E-07	0
371	28183.8	33.4406	0.416963	0.0124688	6.54E-07	5.24E-05	0.0298991	0.000372805	3503.88	281013	2.01E-11	2.25E+07	23776.8	1.91E+06	281035	89.2856	6.54E-09	5.24E-07	0
371	31622.8	33.411	0.399726	0.0119639	7.03E-07	5.88E-05	0.029926	0.000358033	2999.1	250679	2.01E-11	2.10E+07	20351.4	1.70E+06	250696	89.3145	7.03E-09	5.88E-07	0
371	35481.3	33.3802	0.38802	0.0116242	7.66E-07	6.59E-05	0.0299538	0.00034819	2599.47	223625	2.01E-11	1.92E+07	17639.6	1.52E+06	223640	89.334	7.66E-09	6.59E-07	0
371	39810.7	33.3629	0.38302	0.0114804	8.48E-07	7.39E-05	0.0299695	0.000344062	2289.31	199410	2.00E-11	1.74E+07	15534.9	1.35E+06	199423	89.3422	8.48E-09	7.39E-07	0
371	44668.4	33.3354	0.365387	0.0109609	9.08E-07	8.28E-05	0.0299945	0.000328768	1949.66	177873	2.00E-11	1.62E+07	13230	1.21E+06	177884	89.372	9.08E-09	8.28E-07	0
371	50118.7	33.3084	0.35994	0.0108063	1.00E-06	9.29E-05	0.030019	0.000324393	1714.51	158659	2.00E-11	1.47E+07	11634.4	1.08E+06	158668	89.3809	1.00E-08	9.29E-07	0
371	56234.1	33.2841	0.354913	0.0106631	1.11E-06	0.000104127	0.030041	0.000320331	1508.92	141508	2.00E-11	1.33E+07	10239.3	960252	141516	89.3891	1.11E-08	1.04E-06	0
371	63095.7	33.2601	0.340771	0.0102456	1.20E-06	0.000116749	0.0300629	0.000308013	1293.11	126211	2.00E-11	1.23E+07	8774.85	856449	126218	89.413	1.20E-08	1.17E-06	0
